transaction_id,account_id,merchant_id,amount_usd,transaction_date
TXNH0BZEKMGFFZBPF,ACCCNGV7JPKGF4C,MERPFJTIRGYLZ3N,4901.92,2019-01-01 00:40:09
TXNV98TQPSGS8TMSK,ACC8PX9VI4WM4E8,MERJZO1001HZK3R,5643.92,2019-01-01 01:07:22
TXNL6Q9OG4X3ZWV1S,ACCACM4OV1VPEZF,MERWXA2IWS4SVZ8,7693.98,2019-01-01 01:17:42
TXNQDCW33JWHTTT43,ACCX5LRHBWNXOIK,MERFSFLBAAHKI9U,5549.96,2019-01-01 01:44:02
TXNETKQOBIO6BM5P9,ACC06R4TBCOCICI,MERV3YYOYLRV9XL,1963.57,2019-01-01 02:07:04
TXNWU6V95U01632D2,ACCTP24CAM0OWTW,MERWN84MMODPYSA,6916.9,2019-01-01 03:54:50
TXNANVMWWY4OHV67H,ACCQRMNCVIVKT0T,MER457I8L4V5PR1,2398.91,2019-01-01 03:57:27
TXNQ8Q9ZOR662D8PI,ACC87ZOTYVIBZR3,MERPF8MWUWI1HG6,4379.61,2019-01-01 05:59:10
TXNR59N7VQD4HFN4W,ACCEP6GD6FO4HFS,MER69U9R5EQ0INK,4638.22,2019-01-01 07:06:29
TXNXNQJ7WYBTTRB2L,ACCUQSP23OVKFMM,MERYEC2MGMRXMZ2,8067.8,2019-01-01 07:41:50
TXNVL8T92102PG9FR,ACCSBU2ASP8R5YN,MERF0RC4Q311UZX,4199.64,2019-01-01 09:40:31
TXNLD74Y085XWZ49M,ACCGW5K2NQK5AYF,MERGU7ZU9XP48DS,1820.09,2019-01-01 10:28:28
TXNP1K9OLH27QP1Y1,ACCUFQUPCW3X4PI,MER6TS582FBIF08,9632.15,2019-01-01 10:57:05
TXNKRIGRAS1SRLR32,ACCD1VO5VA5QMM4,MERAEOR7PZHLD5Z,810.33,2019-01-01 11:37:30
TXNG3WO9AWZ18DI8M,ACCR1GN1HGXWDYJ,MERXHHNUM21VW9T,4938.34,2019-01-01 12:48:42
TXNA7NLBPKM5R43SG,ACCGI4GDEWRIBRS,MERJ5QPXHYMJEOP,1416.69,2019-01-01 13:11:51
TXN47PCRWHOHUTF9Q,ACCVCA0BHYJALBG,MERYF8JY6DZINK0,2495.15,2019-01-01 13:29:22
TXN7RPEK1QJA4KRHY,ACCPFC3IDBFZIFZ,MERIWH9NWR5T3NS,6777.23,2019-01-01 14:06:05
TXNNDESOLDMS95L43,ACCGYKV2C38J5YS,MERMVA0G2SABKMD,7136.32,2019-01-01 16:58:05
TXN1ISF1K9QNNH11W,ACCMNA4SREW6KKS,MERL92ZY5N5DEBI,4578.67,2019-01-01 17:07:58
TXN1IZLTTJCDO8RAN,ACCL5WWARKY26N6,MERCUJ8G0N07FEH,8426.88,2019-01-01 17:57:37
TXNKNJQA6ZFJK4SDN,ACC6DKP9P10BUEJ,MERSE9MKQB07T03,4984.14,2019-01-01 18:04:03
TXNCOKKYAL2POJGOA,ACCQKDMIJD0LZL3,MERK2XG3RW6QYUP,7143.08,2019-01-01 18:55:15
TXNNII5CBA7BJPJHC,ACCIRFA27HT1B2M,MERZX6Y5BC0XW9Y,6937.34,2019-01-01 20:17:04
TXNZKF9PPMQT3E9HL,ACCUY16LXEQ56EI,MERESKDGFIEFYIP,6270.76,2019-01-01 22:10:02
TXNVLPOA1XSQZTLRH,ACCNUH15DG3Y6VM,MERPEYCC2PK7TSR,9539.73,2019-01-01 23:10:00
TXNQD93QZI1IO1NH6,ACCJN8L8M2H713D,MER871CEH865MVG,3596.93,2019-01-01 23:17:25
TXNI360XSLYP48PDW,ACCCAO132KWXUR9,MEROJAWKZH0STG8,8893.28,2019-01-01 23:31:04
TXN1NPWGYRWCMJFBO,ACC9BTPUZQA839B,MER4LPEKBEOPL4Y,707.98,2019-01-02 00:11:02
TXNRVVTCPA1VORM62,ACCQUMSRFF13UJ8,MERMQL0P98KQFL8,6350.11,2019-01-02 02:05:33
TXN7UCO8E3X7N3V1P,ACCNRF7QS9FRPSA,MERG9GYUO4YITAI,9191.67,2019-01-02 02:29:30
TXNZ26T4QRG32WBB5,ACCYN8KT6BZR3TB,MERPAIAUAIJOJM6,8365.2,2019-01-02 03:43:45
TXNID9CJ0USQGJ4YH,ACCQH4O4CKMMU02,MERLW580NTH94MF,4528.3,2019-01-02 05:05:13
TXN0FMXFFQ6HOKGVV,ACCDVBB5G2H6VGW,MERDEHR2IMHT1RR,991.29,2019-01-02 05:45:14
TXN8OAV2DXRYQOR5Y,ACC6OT9T3CNNJ33,MER5PPXQXATIVUL,9415.13,2019-01-02 06:19:33
TXN7NNJ2ZVH7OBLS9,ACC3B551UWNFW7I,MERLQ9CF3EUGLCE,9786.18,2019-01-02 09:16:03
TXN4KS9S05U0KQ9HL,ACC89KD70V4EIQT,MERI78X7047B65A,6002.16,2019-01-02 09:17:49
TXNEBD5USDXWQQKBV,ACC6A0H0L2AHIPE,MER546XX3WCD3LD,9309.48,2019-01-02 09:43:50
TXNOAKN2QHPX83BF4,ACCGG45YLUTWIP3,MERWKYJOPHAA9SF,2843.51,2019-01-02 10:50:42
TXNUZZ442LOQGEDW3,ACC7RBC6A7PQCH7,MERLVS9YUH6HTJV,3890.34,2019-01-02 11:54:01
TXNL42OZ0TS4895P5,ACCFWCB0MT0MYI3,MERZ2O3ANR1ORRN,2369.55,2019-01-02 12:17:24
TXN0DM9QS89JQAZSP,ACCX7YG6FAOBWXY,MERLVO6D5R5TYPP,6572.77,2019-01-02 12:50:26
TXNALKW1EGHWPVYUM,ACC91Q1MOP7GQKN,MER2Q5HUW59V6LU,6198.9,2019-01-02 13:20:08
TXN9K0ETYH3WARIS8,ACC4OCO46XE4U4T,MERMHV6MZPKFHTW,1166.74,2019-01-02 15:07:05
TXN4HWF51CFZJ2E5O,ACCBR40KXOJ4OCV,MERUYFETHWFIBAT,8964.81,2019-01-02 16:00:51
TXNWMEIQ1CUDTOE6Y,ACCE9LOYJ28C2N8,MER9QCWPBV1EWMQ,7413.29,2019-01-02 19:53:42
TXNJIEPXPV7TDAOZZ,ACC6ACHDFK0AWD3,MERKF5LMN2UTY4R,9174.31,2019-01-02 21:36:15
